source,house_is,property_subtype,price,postcode,area,rooms_number,equipped_kitchen_has,garden,garden_area,terrace,terrace_area,furnished,swimming_pool_has,land_surface,basement,building_state_agg,open_fire,longitude,latitude,coeff,price_area,fire,pool,furnish,kitchen,status
8945304,FALSE,APARTMENT,159000,9200,72,2,True,False,0,True,8,False,False,0,72,,False,4.1070772,51.0323062,2,1925,0,0,0,5000,0
8792952,FALSE,APARTMENT,179000,5000,60,2,True,False,0,False,0,False,False,0,60,GOOD,False,4.8635657,50.4650879,2,2900,0,0,0,5000,0
8951784,FALSE,APARTMENT,180000,8520,92,2,True,False,0,False,0,False,False,0,92,GOOD,False,3.2744445,50.8654958,2,1902.1739130435,0,0,0,5000,0
8947716,FALSE,APARTMENT,198000,8850,91,2,True,False,0,True,0,False,False,0,91,,False,3.1979371,50.9761136,2,2120.8791208791,0,0,0,5000,0
8932447,FALSE,APARTMENT,200000,1650,55,1,True,False,0,True,68,False,False,0,55,GOOD,False,4.3478127,50.7436255,2,1585.3658536585,0,0,0,5000,0
8794336,FALSE,APARTMENT,209000,8660,60,1,True,False,0,True,15,True,True,0,60,GOOD,False,2.574052,51.0969873,2,2386.6666666667,0,15000,10000,5000,0
8664577,FALSE,APARTMENT,219500,8450,114,3,False,False,0,True,0,False,False,0,114,,False,2.971711,51.2505549,2,1925.4385964912,0,0,0,0,0
8664576,FALSE,APARTMENT,219500,8450,102,3,False,False,0,True,0,False,False,0,102,,False,2.971711,51.2505549,2,2151.9607843137,0,0,0,0,0
8923628,FALSE,APARTMENT,225000,4500,140,2,True,False,0,True,0,False,False,0,6,GOOD,False,5.2394497,50.5256668,2,1571.4285714286,0,0,0,5000,0
8950319,FALSE,APARTMENT,245000,4870,121,3,True,False,0,True,15,False,False,0,121,AS_NEW,False,5.6872657,50.6006974,2,1164.705882353,0,0,0,5000,81600
8950321,FALSE,APARTMENT,249000,4870,121,3,True,False,0,True,48,False,False,0,121,AS_NEW,False,5.680274,50.5883468,2,843.7869822485,0,0,0,5000,101400
8948101,FALSE,PENTHOUSE,259000,9150,94,2,True,False,0,True,0,False,False,0,94,GOOD,False,4.2967467,51.149169,2,2702.1276595745,0,0,0,5000,0
8950393,FALSE,APARTMENT,295000,1160,60,1,True,False,0,False,0,False,False,0,60,AS_NEW,False,4.4198673,50.8143799,2,4233.3333333333,0,0,0,5000,36000
8918822,FALSE,APARTMENT,305000,9320,110,2,True,False,0,False,0,False,False,0,110,GOOD,False,4.0563264,50.901334,2,2727.2727272727,0,0,0,5000,0
