source,house_is,property_subtype,price,postcode,area,rooms_number,equipped_kitchen_has,garden,garden_area,terrace,terrace_area,furnished,swimming_pool_has,land_surface,basement,building_state_agg,open_fire,longitude,latitude
9026245,FALSE,GROUND_FLOOR,319450,1702,104,2,True,True,104,True,34,False,False,0,104,AS_NEW,False,4.26491,50.8702552
9033558,FALSE,APARTMENT,395000,1500,125,3,True,False,0,True,28,False,False,0,125,,False,4.2384969,50.7440865
8975225,FALSE,APARTMENT,75000,6800,71,2,True,False,0,False,0,False,False,0,71,TO_RENOVATE,False,5.359993,49.914678
8998094,FALSE,APARTMENT,109000,6890,91,2,True,False,0,False,0,False,False,0,91,GOOD,False,5.2186675,49.9482223
8987709,FALSE,APARTMENT,125000,1080,70,1,True,False,0,True,0,False,False,0,70,TO_RENOVATE,False,4.3350328,50.866073
8983904,FALSE,FLAT_STUDIO,140000,1040,40,0,True,False,0,False,0,False,False,0,40,GOOD,False,4.3949003,50.8374132
8961387,FALSE,FLAT_STUDIO,145000,2060,33,0,True,False,0,False,0,False,False,0,33,,False,4.416869,51.2302347
8941222,FALSE,GROUND_FLOOR,159000,2300,60,2,True,True,27,True,0,False,False,0,60,GOOD,False,4.9247285,51.3129065
9014454,FALSE,APARTMENT,170000,2830,85,2,True,False,0,True,12,False,False,0,85,JUST_RENOVATED,False,4.3591842,51.0648028
8922276,FALSE,APARTMENT,199000,8370,89,2,False,False,0,True,7,False,False,0,89,AS_NEW,False,3.1384836,51.3156466
9016639,FALSE,APARTMENT,215000,1030,85,2,True,False,0,True,4,False,False,0,85,TO_RENOVATE,False,4.4018882,50.8601201
9022507,FALSE,APARTMENT,245000,4400,123,2,True,False,0,True,20,False,False,0,123,GOOD,False,-81.5157535,27.6648274
8892184,FALSE,APARTMENT,249000,9040,90,2,True,False,0,False,0,False,False,0,90,GOOD,False,3.748885,51.0539201
8974154,FALSE,APARTMENT,269000,8420,73,2,True,False,0,True,5,False,False,0,73,AS_NEW,False,3.0813511,51.2986687
9016228,FALSE,APARTMENT,285000,9900,140,2,True,False,0,True,0,False,False,0,140,,False,3.5785349,51.1791391
9014455,FALSE,APARTMENT,290000,2830,85,2,True,False,0,True,12,False,False,0,85,JUST_RENOVATED,False,4.3591842,51.0648028
9002738,FALSE,APARTMENT,299000,5000,91,2,True,False,0,True,9,False,False,0,91,AS_NEW,False,4.8654728,50.4647727
8978840,FALSE,APARTMENT,330000,1083,124,3,True,False,0,True,6,False,False,0,124,AS_NEW,False,4.3016268,50.873527
8980024,FALSE,APARTMENT,345000,1030,107,3,True,False,0,True,11,False,False,0,107,AS_NEW,False,4.4101894,50.8524319
8974194,FALSE,DUPLEX,349000,1060,129,2,True,False,0,True,8,False,False,0,129,,False,4.3543694,50.8239789
9002432,FALSE,APARTMENT,350000,1060,176,3,True,True,23,True,5,False,False,0,176,TO_RENOVATE,False,4.3407996,50.8256881
8981458,FALSE,PENTHOUSE,397500,1030,110,2,True,False,0,True,51,False,False,0,110,AS_NEW,False,4.4101894,50.8524319
9016152,FALSE,APARTMENT,440000,4000,144,2,True,False,0,True,17,False,False,0,144,,False,5.5655731,50.6347222
9006330,FALSE,APARTMENT,440000,4000,144,2,True,False,0,True,17,False,False,0,144,,False,5.5655731,50.6347222
9016640,FALSE,APARTMENT,450000,1190,135,3,True,False,0,True,1,False,False,0,3,,False,4.3292008,50.8206001
8980904,FALSE,DUPLEX,450000,1780,120,3,False,False,0,True,5,False,False,0,120,,False,4.3066832,50.9099687
9001226,FALSE,TRIPLEX,450000,3001,171,4,False,False,0,True,30,False,False,0,171,,False,4.7088607,50.8680342
9015521,FALSE,APARTMENT,475000,1200,140,3,True,False,0,True,8,False,False,0,140,AS_NEW,False,4.4196905,50.8483107
9014283,FALSE,APARTMENT,599000,8000,158,4,True,False,0,True,5,False,False,0,158,AS_NEW,True,3.2696167,51.2427538
8995150,FALSE,APARTMENT,725000,8400,134,3,True,False,0,False,0,False,False,0,134,,False,2.9206253,51.2347656
8977263,FALSE,APARTMENT,1050000,1180,263,4,True,False,0,True,10,False,False,0,263,AS_NEW,False,4.3551383,50.8125802
9018858,FALSE,APARTMENT,2695000,8300,150,3,True,False,0,True,10,False,False,0,150,AS_NEW,False,3.2930358,51.3541829
9041624,FALSE,APARTMENT,249000,3900,110,2,True,False,0,False,0,False,False,0,110,GOOD,False,5.4213345,51.2141301
9031978,FALSE,APARTMENT,198000,8400,94,2,True,False,0,True,0,False,False,0,94,GOOD,False,2.9099666,51.228307
9016831,FALSE,APARTMENT,260500,9140,92,2,True,False,0,True,10,False,False,0,92,,False,4.2071756,51.1210453
8964037,FALSE,FLAT_STUDIO,283500,1050,43,0,True,False,0,True,12,False,False,0,43,AS_NEW,False,4.3693907,50.8186875
9032714,FALSE,APARTMENT,350000,1020,140,2,True,False,0,True,37,False,False,0,140,JUST_RENOVATED,True,4.3590215,50.8746679
8996559,FALSE,PENTHOUSE,990000,1050,130,3,True,False,0,True,52,False,False,0,130,AS_NEW,False,4.3693907,50.8186875
9043970,FALSE,APARTMENT,253000,1400,89,2,True,False,0,False,0,False,False,0,4,AS_NEW,False,4.3105423,50.5856604
8694999,FALSE,APARTMENT,270000,4920,102,2,True,False,0,True,45,True,False,0,102,AS_NEW,False,5.6783775,50.4681375
9038832,FALSE,TRIPLEX,265000,1080,155,2,True,False,0,False,0,False,False,0,155,GOOD,False,4.339263,50.8637527
9039486,FALSE,APARTMENT,299000,9300,88,2,True,False,0,True,20,False,False,0,88,,False,4.0472536,50.9313082
9039490,FALSE,PENTHOUSE,485000,9300,141,3,True,False,0,True,16,False,False,0,141,,False,4.0472536,50.9313082
9040157,FALSE,APARTMENT,725000,8300,102,3,True,False,0,False,0,False,False,0,102,AS_NEW,False,3.287023,51.3466218
9030993,FALSE,APARTMENT,250000,7850,101,3,True,False,0,False,0,False,False,0,101,AS_NEW,False,4.0388598,50.6910017
9031334,FALSE,PENTHOUSE,261250,8370,76,1,True,False,0,True,21,False,False,0,76,,False,3.1402539,51.31352
9030480,FALSE,APARTMENT,470000,1050,117,0,False,False,0,False,0,False,False,0,117,,False,4.3543826,50.822857
9042786,FALSE,APARTMENT,159000,1080,60,1,True,False,0,True,6,False,False,0,60,GOOD,False,4.3056997,50.8516563
9042682,FALSE,GROUND_FLOOR,244721,3440,108,2,True,False,0,True,0,False,False,0,108,AS_NEW,False,5.109146,50.830781
9044312,FALSE,APARTMENT,315000,2500,89,2,False,False,0,True,12,False,False,0,89,AS_NEW,False,4.5721985,51.1375918
9033623,FALSE,APARTMENT,302000,1000,92,2,True,False,0,True,22,False,False,0,92,AS_NEW,False,4.3491892,50.8648307
8928768,FALSE,APARTMENT,149000,2140,90,2,True,False,0,False,0,False,False,0,90,GOOD,False,4.4470998,51.2193953
8998613,FALSE,APARTMENT,175000,1081,88,2,True,False,0,True,0,False,False,0,88,TO_RENOVATE,False,4.3173586,50.862409
8970494,FALSE,FLAT_STUDIO,185000,1000,40,0,True,False,0,False,0,True,False,0,40,AS_NEW,False,4.374729,50.833407
9005208,FALSE,APARTMENT,195000,8370,94,2,True,True,102,False,0,False,False,0,94,GOOD,False,3.1367329,51.3151151
8999211,FALSE,APARTMENT,199000,1020,90,2,False,False,0,False,0,False,False,0,90,GOOD,False,4.3273298,50.895925
8979027,FALSE,APARTMENT,199000,1800,83,2,True,False,0,True,15,False,False,0,83,GOOD,False,4.40283,50.91599
9001223,FALSE,APARTMENT,212000,9050,97,2,True,False,0,True,18,False,False,0,97,GOOD,False,3.769788,51.0276341
8997383,FALSE,APARTMENT,225000,8400,93,2,True,False,0,False,0,False,False,0,93,AS_NEW,False,2.9092974,51.2241829
8998983,FALSE,APARTMENT,238000,7090,135,3,True,False,0,True,12,False,False,0,135,AS_NEW,False,4.1343747,50.6023741
9018363,FALSE,PENTHOUSE,249000,9280,122,3,True,False,0,True,8,False,False,0,122,,False,4.123647,51.0048174
8980229,FALSE,APARTMENT,254900,1755,104,2,True,False,0,True,9,False,False,0,104,,False,4.1176588,50.7780519
8961280,FALSE,APARTMENT,260000,1200,62,1,True,False,0,True,6,True,False,0,62,AS_NEW,False,4.4509083,50.8397712
8964457,FALSE,GROUND_FLOOR,265000,1853,120,3,True,True,3900,True,0,False,False,0,120,GOOD,False,4.3583035,50.9092195
9025444,FALSE,APARTMENT,275000,2390,97,2,True,False,0,True,0,False,False,0,97,AS_NEW,False,4.737036,51.3001115
9004414,FALSE,APARTMENT,275600,1190,92,2,True,False,0,True,60,False,False,0,92,,False,4.3238606,50.8166256
9004403,FALSE,GROUND_FLOOR,275600,1190,92,2,True,False,0,True,60,False,False,0,92,,False,4.3238606,50.8166256
8968803,FALSE,APARTMENT,299500,2140,95,3,True,False,0,True,0,False,False,0,95,AS_NEW,False,4.435918,51.2162702
8960964,FALSE,APARTMENT,319000,8430,73,2,True,False,0,True,0,False,False,0,73,GOOD,False,2.8077677,51.1852249
9002964,FALSE,APARTMENT,320000,1000,126,3,True,False,0,True,14,False,False,0,126,GOOD,False,4.3601457,50.8654814
